number,lambda
1,636.400000000026
2,632.400000000026
3,628.000000000025
4,623.400000000024
5,619.200000000023
6,615.400000000022
7,611.200000000021
8,607.20000000002
9,603.400000000019
10,599.400000000018
11,595.600000000017
12,592.000000000016
13,588.400000000016
14,585.000000000015
15,581.400000000014
16,578.000000000013
17,574.600000000012
18,571.600000000012
19,568.600000000011
20,565.60000000001
21,562.80000000001
22,560.000000000009
