Wavelength Trans 
nm % 
480 24,0001617594999 
480,2 23,9933040800057 
480,4 23,8487475016814 
480,6 23,7129437688888 
480,8 23,5742489088137 
481 23,4456428379584 
481,2 23,3538342094573 
481,4 23,2138207477196 
481,6 23,1752285052559 
481,8 23,1320380457662 
482 23,0107954145722 
482,2 22,8633639576872 
482,4 22,7296854333676 
482,6 22,6396095939747 
482,8 22,5355639032373 
483 22,412808979643 
483,2 22,3404841186419 
483,4 22,1786345502339 
483,6 22,0165308095567 
483,8 21,894486338371 
484 21,8298544764287 
484,2 21,7691725218808 
484,4 21,6123869875764 
484,6 21,5308283321633 
484,8 21,4405823038941 
485 21,3615293252386 
485,2 21,2998172673449 
485,4 21,1721805226661 
485,6 21,0244125561157 
485,8 20,91684884116 
486 20,7834092876279 
486,2 20,7792740449602 
486,4 20,6486754589201 
486,6 20,5870414582728 
486,8 20,4765290435358 
487 20,3629378439551 
487,2 20,2437880564009 
487,4 20,1815275915489 
487,6 20,0452993473743 
487,8 19,9345285289292 
488 19,8126978059696 
488,2 19,7337037383833 
488,4 19,6458947869843 
488,6 19,5382236482008 
488,8 19,4359433844883 
488,999999999999 19,3404718039614 
489,199999999999 19,3082269962814 
489,399999999999 19,1320094050601 
489,599999999999 19,0547786835698 
489,799999999999 19,0659948855173 
489,999999999999 18,9319415471868 
490,199999999999 18,7812867156483 
490,399999999999 18,6861113680184 
490,599999999999 18,6461939826971 
490,799999999999 18,5420079118149 
490,999999999999 18,4823588813367 
491,199999999999 18,3676260386024 
491,399999999999 18,2254896678875 
491,599999999999 18,1369037238961 
491,799999999999 18,0888540311346 
491,999999999999 17,9508120641836 
492,199999999999 17,9596655240886 
492,399999999999 17,7805007098657 
492,599999999999 17,6589344407034 
492,799999999999 17,5797073445415 
492,999999999999 17,5003616218423 
493,199999999999 17,4239304363092 
493,399999999999 17,3686462388757 
493,599999999999 17,3314539360902 
493,799999999999 17,2615079530644 
493,999999999999 17,1825525790668 
494,199999999999 17,0296591695621 
494,399999999999 16,9397168910606 
494,599999999999 16,9021297592741 
494,799999999999 16,8589945623646 
494,999999999999 16,6671250986398 
495,199999999999 16,543517259472 
495,399999999999 16,5731556797204 
495,599999999999 16,5352876932561 
495,799999999999 16,3730639255098 
495,999999999999 16,2835292476486 
496,199999999999 16,268713505175 
496,399999999999 16,1707863416575 
496,599999999999 16,178183724294 
496,799999999999 16,0689703084671 
496,999999999999 15,949548543502 
497,199999999999 16,0091079527644 
497,399999999999 15,8829385875025 
497,599999999999 15,8311267095836 
497,799999999999 15,7982466826595 
497,999999999999 15,6683284039792 
498,199999999999 15,490336165159 
498,399999999999 15,4551110115587 
498,599999999999 15,4351305150372 
498,799999999999 15,3707740203279 
498,999999999999 15,2920985067665 
499,199999999999 15,2720286659279 
499,399999999999 15,1462110556687 
499,599999999999 15,0514482105328 
499,799999999999 15,0775956311859 
499,999999999999 14,8968459628428 
500,199999999999 14,8235901598947 
500,399999999999 14,7419440125741 
500,599999999999 14,7594394262949 
500,799999999999 14,7787268952908 
500,999999999999 14,6887413410701 
501,199999999999 14,5938159356347 
501,399999999999 14,5485579537993 
501,599999999999 14,4999391003126 
501,799999999999 14,4263262132713 
501,999999999999 14,3351207143546 
502,199999999999 14,2913359155444 
502,399999999999 14,2631674371004 
502,599999999999 14,3033767838283 
502,799999999999 14,2293765988684 
502,999999999999 14,1138601488443 
503,199999999999 14,1175812229526 
503,399999999999 14,0654299076365 
503,599999999999 14,0174397522168 
503,799999999999 14,0013327263905 
